,territoire,lieu_id
0,01,1
1,06,9
2,13,87
3,16,1
4,18,3
5,24,2
6,33,20
7,34,7
8,36,51
9,37,1
10,44,15
11,59,2
12,63,2
13,67,17
14,69,2
15,75,21
16,76,9
17,77,7
18,78,53
19,91,31
20,92,21
21,93,6
22,94,10
23,95,28
