,organization_id,createdAt,territories
0,0,2020-11,33
1,1,2020-11,33
2,2,2020-11,33
3,3,2020-11,33
4,5,2020-11,33
5,6,2020-11,33
6,7,2020-11,33
7,8,2020-11,33
8,9,2020-11,33
9,12,2020-11,33
10,25,2020-11,33
11,26,2020-11,33
12,27,2020-11,33
13,28,2020-11,33
14,29,2020-11,33
15,30,2020-11,33
16,31,2020-11,33
17,32,2020-11,33
18,33,2020-11,33
19,34,2020-11,33
20,35,2020-11,33
21,37,2020-11,33
22,40,2020-11,33
23,41,2020-11,33
24,42,2020-11,33
25,43,2020-11,33
26,44,2020-11,33
27,45,2020-11,33
28,46,2020-11,33
29,47,2020-11,33
30,49,2020-11,33
31,50,2020-11,33
32,51,2020-11,33
33,52,2020-11,33
34,53,2020-11,33
35,54,2020-11,33
36,55,2020-11,33
37,56,2020-11,33
38,57,2020-11,33
39,58,2020-11,33
40,59,2020-11,33
41,60,2020-11,33
42,61,2020-11,33
43,62,2020-11,33
44,63,2020-11,33
45,64,2020-11,33
46,65,2020-11,33
47,66,2020-11,33
48,67,2020-11,33
49,68,2020-11,33
50,69,2020-11,33
51,70,2020-11,33
52,71,2020-11,33
53,72,2020-11,33
54,73,2020-11,33
55,74,2020-11,33
56,75,2020-11,33
57,76,2020-11,33
58,77,2020-11,33
59,78,2020-11,33
60,79,2020-11,33
61,80,2020-11,33
62,81,2020-11,33
63,82,2020-11,33
64,83,2020-11,33
65,84,2020-11,33
66,85,2020-11,33
67,86,2020-11,33
68,88,2020-11,33
69,89,2020-11,33
70,90,2020-11,33
71,91,2020-11,33
72,92,2020-11,33
73,93,2020-11,33
74,94,2020-11,33
75,95,2020-11,33
76,96,2020-11,33
77,97,2020-11,33
78,98,2020-11,33
79,99,2020-11,33
80,100,2020-11,33
81,101,2020-11,33
82,102,2020-11,33
83,103,2020-11,33
84,104,2020-11,33
85,105,2020-11,33
86,106,2020-11,33
87,107,2020-11,33
88,108,2020-11,33
89,109,2020-11,33
90,111,2020-11,33
91,112,2020-11,33
92,113,2020-11,33
93,114,2020-11,33
94,115,2020-11,33
95,116,2020-11,33
96,117,2020-11,33
97,118,2020-11,33
98,119,2020-11,33
99,120,2020-11,33
100,121,2020-11,33
101,122,2020-11,33
102,123,2020-11,33
103,124,2020-11,33
104,125,2020-11,33
105,126,2020-11,33
106,127,2020-11,33
107,128,2020-11,33
108,129,2020-11,33
109,130,2020-11,33
110,131,2020-11,33
111,132,2020-11,33
112,133,2020-11,33
113,134,2020-11,33
114,135,2020-11,33
115,136,2020-11,33
116,137,2020-11,33
117,138,2020-11,33
118,139,2020-11,33
119,140,2020-11,33
120,141,2020-11,33
121,142,2020-11,33
122,143,2020-11,33
123,144,2020-11,33
124,147,2020-11,33
125,148,2020-11,33
126,149,2020-11,33
127,150,2020-11,33
128,151,2020-11,33
129,152,2020-11,33
130,153,2020-11,33
131,154,2020-11,33
132,157,2020-11,33
133,158,2020-11,33
134,168,2020-11,33
135,169,2020-11,33
136,170,2020-11,33
137,171,2020-11,33
138,172,2020-11,33
139,173,2020-11,33
140,174,2020-11,33
141,175,2020-11,33
142,177,2020-11,33
143,179,2020-11,33
144,180,2020-11,33
145,181,2020-11,33
146,182,2020-11,33
147,183,2020-11,33
148,184,2020-11,33
149,185,2020-11,33
150,186,2020-11,33
151,187,2020-11,33
152,188,2020-11,33
153,189,2020-11,33
154,190,2020-11,33
155,191,2020-11,33
156,192,2020-11,33
157,194,2020-11,33
158,195,2020-11,33
159,196,2020-11,33
160,197,2020-11,33
161,198,2020-11,33
162,199,2020-11,33
163,200,2020-11,33
164,201,2020-11,33
165,202,2020-11,33
166,203,2020-11,33
167,206,2020-11,33
168,207,2020-11,33
169,208,2020-11,33
170,209,2020-11,33
171,210,2020-11,33
172,211,2020-11,33
173,212,2020-11,33
174,213,2020-11,33
175,214,2020-11,33
176,215,2020-11,33
177,216,2020-11,33
178,217,2020-11,33
179,218,2020-11,33
180,219,2020-11,33
181,220,2020-11,33
182,222,2020-11,33
183,223,2020-11,33
184,226,2020-11,33
185,227,2020-11,33
186,228,2020-11,33
187,229,2020-11,33
188,230,2020-11,33
189,231,2020-11,33
190,232,2020-11,33
191,233,2020-11,33
192,234,2020-11,33
193,235,2020-11,33
194,237,2020-11,33
195,238,2020-11,33
196,239,2020-11,33
197,242,2020-11,33
198,244,2020-11,33
199,245,2020-11,33
200,246,2020-11,33
201,247,2020-11,33
202,248,2020-11,33
203,249,2020-11,33
204,250,2020-11,33
205,254,2020-11,33
206,257,2020-11,33
207,258,2020-11,33
208,260,2020-11,33
209,262,2020-11,33
210,263,2020-11,33
211,264,2020-11,33
212,266,2020-11,33
213,268,2020-11,33
214,269,2020-11,33
215,270,2020-11,33
216,271,2020-11,33
217,272,2020-11,33
218,273,2020-11,33
219,274,2020-11,33
220,275,2020-11,33
221,276,2020-11,33
222,277,2020-11,33
223,278,2020-11,33
224,279,2020-11,33
225,280,2020-11,33
226,281,2020-11,33
227,282,2020-11,33
228,284,2020-11,33
229,285,2020-11,33
230,286,2020-11,33
231,287,2020-11,33
232,289,2020-11,33
233,290,2020-11,33
234,293,2020-11,33
235,295,2020-11,33
236,296,2020-11,33
237,297,2020-11,33
238,299,2020-11,33
239,300,2020-11,33
240,301,2020-11,33
241,302,2020-11,33
242,303,2020-11,33
243,304,2020-11,33
244,305,2020-11,33
245,306,2020-11,33
246,307,2020-11,33
247,308,2020-11,33
248,309,2020-11,33
249,310,2020-11,33
250,311,2020-11,33
251,312,2020-11,33
252,314,2020-11,33
253,315,2020-11,33
254,316,2020-11,33
255,317,2020-11,33
256,318,2020-11,33
257,319,2020-11,33
258,320,2020-11,33
259,321,2020-11,33
260,322,2020-11,33
261,324,2020-11,33
262,325,2020-11,33
263,326,2020-11,33
264,327,2020-11,33
265,328,2020-11,33
266,329,2020-11,33
267,331,2020-11,33
268,332,2020-11,33
269,333,2020-11,33
270,334,2020-11,33
271,335,2020-11,33
272,337,2020-11,33
273,338,2020-11,33
274,340,2020-11,33
275,341,2020-11,33
276,342,2020-11,33
277,343,2020-11,33
278,344,2020-11,33
279,345,2020-11,33
280,346,2020-11,33
281,347,2020-11,33
282,348,2020-11,33
283,349,2020-11,33
284,350,2020-11,33
285,351,2020-11,33
286,352,2020-11,33
287,353,2020-11,33
288,354,2020-11,33
289,355,2020-11,33
290,357,2020-11,33
291,358,2020-11,33
292,359,2020-11,33
293,360,2020-11,33
294,361,2020-11,33
295,362,2020-11,33
296,363,2020-11,33
297,364,2020-11,44
298,365,2020-11,44
299,368,2020-11,44
300,369,2020-11,44
301,370,2020-11,44
302,371,2020-11,44
303,373,2020-11,44
304,375,2020-11,44
305,376,2020-11,44
306,381,2020-11,44
307,383,2020-11,44
308,384,2020-11,44
309,385,2020-11,44
310,386,2020-11,44
311,387,2020-11,44
312,390,2020-11,44
313,392,2020-11,44
314,393,2020-11,44
315,395,2020-11,44
316,396,2020-11,44
317,397,2020-11,44
318,398,2020-11,44
319,399,2020-11,44
320,400,2020-11,44
321,402,2020-11,44
322,403,2020-11,44
323,404,2020-11,44
324,405,2020-11,44
325,408,2020-11,44
326,409,2020-11,44
327,410,2020-11,44
328,411,2020-11,44
329,413,2020-11,44
330,414,2020-11,44
331,415,2020-11,44
332,416,2020-11,44
333,417,2020-11,44
334,418,2020-11,44
335,419,2020-11,44
336,421,2020-11,44
337,422,2020-11,44
338,424,2020-11,44
339,425,2020-11,44
340,426,2020-11,44
341,427,2020-11,44
342,428,2020-11,44
343,429,2020-11,44
344,430,2020-11,44
345,431,2020-11,44
346,432,2020-11,44
347,434,2020-11,44
348,435,2020-11,44
349,436,2020-11,44
350,437,2020-11,44
351,438,2020-11,44
352,439,2020-11,44
353,440,2020-11,44
354,441,2020-11,44
355,443,2020-11,44
356,444,2020-11,44
357,445,2020-11,44
358,446,2020-11,44
359,447,2020-11,44
360,448,2020-11,44
361,449,2020-11,44
362,450,2020-11,44
363,451,2020-11,44
364,452,2020-11,44
365,453,2020-11,44
366,454,2020-11,44
367,455,2020-11,44
368,457,2020-11,44
369,459,2020-11,44
370,461,2020-11,44
371,462,2020-11,44
372,463,2020-11,44
373,464,2020-11,44
374,465,2020-11,44
375,466,2020-11,44
376,467,2020-11,44
377,468,2020-11,44
378,469,2020-11,44
379,470,2020-11,44
380,471,2020-11,44
381,472,2020-11,44
382,473,2020-11,44
383,475,2020-11,44
384,477,2020-11,44
385,478,2020-11,44
386,480,2020-11,44
387,481,2020-11,44
388,482,2020-11,44
389,483,2020-11,44
390,484,2020-11,44
391,485,2020-11,44
392,486,2020-11,44
393,487,2020-11,44
394,488,2020-11,44
395,489,2020-11,44
396,490,2020-11,44
397,491,2020-11,44
398,492,2020-11,44
399,493,2020-11,44
400,494,2020-11,44
401,495,2020-11,44
402,496,2020-11,44
403,497,2020-11,44
404,498,2020-11,44
405,499,2020-11,44
406,500,2020-11,44
407,501,2020-11,44
