territory,lieu_id,departement
06,745,745
07,159,159
15,85,85
16,126,126
21,240,240
24,40,40
33,935,935
34,470,470
36,256,256
44,1131,1131
59,236,236
63,448,448
67,552,552
75,2650,2650
77,626,626
78,1078,1078
87,21,21
91,683,683
92,1343,1343
93,989,989
94,1015,1015
95,681,681
