,departement,statut,Nb_services,territory
260,Paris,1,4,75
261,Paris,1,3,75
262,Paris,1,3,75
263,Paris,1,3,75
264,Paris,1,4,75
265,Paris,1,4,75
266,Paris,1,4,75
267,Paris,1,3,75
268,Paris,1,4,75
269,Paris,1,4,75
270,Paris,1,4,75
271,Paris,1,4,75
272,Paris,1,1,75
273,Paris,1,4,75
274,Paris,1,4,75
275,Paris,1,4,75
276,Paris,1,3,75
277,Paris,1,3,75
278,Paris,1,3,75
279,Paris,1,3,75
280,Paris,1,3,75
281,Paris,1,4,75
282,Paris,1,9,75
283,Paris,1,6,75
284,Paris,1,6,75
285,Paris,1,4,75
286,Paris,1,2,75
287,Paris,1,3,75
288,Paris,1,6,75
289,Paris,1,5,75
290,Paris,1,2,75
291,Paris,1,1,75
292,Paris,1,9,75
293,Paris,1,3,75
294,Paris,1,2,75
295,Paris,1,3,75
296,Paris,1,4,75
297,Paris,1,4,75
298,Paris,1,4,75
299,Paris,1,2,75
300,Paris,1,2,75
301,Paris,1,4,75
302,Paris,1,1,75
303,Paris,1,1,75
304,Département de Paris,1,1,
305,Paris,1,1,75
306,Paris,1,1,75
307,Paris,1,2,75
308,Département de Paris,1,4,
309,Paris,1,6,75
310,Paris,1,8,75
311,Paris,1,9,75
312,Paris,1,2,75
313,Paris,0,1,75
314,Paris,1,1,75
315,Paris,1,1,75
316,Paris,1,2,75
317,Paris,1,2,75
318,Paris,1,1,75
319,Paris,1,4,75
320,Paris,1,3,75
321,Paris,1,3,75
322,Paris,1,4,75
323,Paris,1,1,75
324,Paris,1,1,75
325,Paris,1,1,75
326,Paris,1,3,75
327,Département de Paris,1,1,
328,Département de Paris,1,1,
329,Paris,1,1,75
330,Paris,1,1,75
331,Paris,1,1,75
332,Département de Paris,1,1,
333,Département de Paris,1,1,
334,Paris,1,1,75
335,Département de Paris,1,1,
336,Département de Paris,1,1,
337,Département de Paris,1,1,
338,Département de Paris,1,1,
339,Département de Paris,1,1,
340,Paris,1,1,75
341,Paris,1,1,75
342,Paris,1,1,75
343,Paris,1,2,75
344,Paris,1,2,75
345,Paris,1,2,75
346,Paris,1,2,75
347,Paris,1,2,75
348,Paris,1,2,75
349,Paris,1,1,75
350,Paris,1,3,75
351,Paris,1,1,75
352,Paris,1,2,75
353,Paris,1,2,75
354,Paris,1,2,75
355,Paris,1,1,75
356,Paris,1,2,75
357,Paris,1,2,75
358,Paris,1,2,75
359,Paris,1,2,75
360,Paris,1,2,75
361,Paris,1,2,75
362,Paris,1,2,75
363,Paris,1,1,75
364,Paris,1,2,75
365,Paris,1,2,75
366,Paris,1,2,75
367,Paris,1,2,75
368,Paris,1,1,75
369,Paris,1,2,75
370,Paris,1,2,75
371,Paris,1,2,75
372,Paris,1,1,75
373,Paris,1,2,75
374,Paris,1,1,75
375,Paris,1,2,75
376,Paris,1,2,75
377,Paris,1,2,75
378,Paris,1,2,75
379,Paris,1,2,75
380,Paris,1,1,75
381,Paris,1,1,75
382,Paris,1,2,75
383,Paris,1,2,75
384,Paris,1,4,75
385,Paris,1,2,75
386,Paris,1,1,75
387,Paris,1,2,75
388,Paris,1,2,75
389,Paris,1,1,75
390,Paris,1,2,75
391,Paris,1,1,75
392,Paris,1,1,75
393,Paris,1,1,75
394,Paris,1,2,75
395,Paris,1,2,75
396,Paris,1,2,75
397,Paris,1,2,75
398,Paris,1,1,75
399,Paris,1,1,75
400,Paris,1,1,75
401,Paris,1,2,75
402,Paris,1,1,75
403,Paris,1,1,75
404,Paris,1,2,75
405,Paris,1,12,75
406,Paris,1,3,75
407,Paris,1,1,75
408,Paris,1,1,75
409,Paris,1,1,75
410,Paris,1,1,75
411,Paris,1,1,75
412,Paris,1,2,75
413,Paris,1,2,75
414,Paris,1,2,75
415,Paris,1,2,75
416,Paris,1,1,75
417,Paris,1,1,75
418,Paris,1,1,75
419,Paris,1,1,75
420,Paris,1,1,75
421,Paris,1,1,75
422,Paris,1,1,75
423,Paris,1,1,75
424,Paris,1,1,75
425,Paris,1,1,75
426,Paris,1,1,75
427,Paris,1,1,75
428,Paris,1,1,75
429,Paris,1,1,75
430,Paris,1,1,75
431,Paris,1,1,75
432,Paris,1,1,75
433,Paris,1,1,75
434,Paris,1,1,75
435,Paris,1,1,75
436,Paris,1,1,75
437,Paris,1,1,75
438,Paris,1,1,75
439,Paris,1,1,75
440,Paris,1,1,75
441,Paris,1,1,75
442,Paris,1,1,75
443,Paris,1,1,75
444,Paris,1,1,75
445,Paris,1,1,75
