,created_at,departement,en ligne,brouillon
145,2022-02,Morbihan,1,136
146,2022-02,Nord,14,171
147,2022-02,Paris,141,1237
148,2022-02,Puy-de-Dôme,66,379
149,2022-02,Seine-Maritime,92,207
150,2022-02,Seine-Saint-Denis,42,728
151,2022-02,Seine-et-Marne,405,96
152,2022-02,Val-d'Oise,184,314
153,2022-02,Val-de-Marne,101,712
154,2022-02,Yvelines,236,733
