,Département,departement,Addiction,Dépistage,Psychologie,Soins enfants,Généraliste,Dentaire,Suivi grossesse,Vaccination,Infirmerie,Vétérinaire,Atelier numérique,Formation français,Accompagnement à l'emploi,Chantier d'insertion,Soutien scolaire,Douche,Laverie,Bien-être,Toilettes,Protections périodiques,Masques,Conseil logement,Permanence juridique,Domiciliation,Accompagnement social,Ecrivain public,Conseil handicap,Conseil administratif,conseil parents,Ordinateur,Wifi,Prise,Téléphones,Numérisation de documents,Distribution alimentaire,Restauration assise,Colis Alimentaire,Epicerie AideSociale,Fontaine,Accueil de jour,Hébergement d'urgence,Hébergement à long terme,Espaces de repos,Halte de nuit,Garde d'enfants,espace famille,Sport,Musée,Bibliothèque,Activités,Bagagerie,Magasin solidaire,Vêtements,Animaux,Moyenne
12,59,Nord,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,2.04,0.44,0.0,2.91,0.41,0.0,0.0,0.0,0.0,0.0,0.73,0.15,0.0,0.71,0.15,0.0,2.22,0.33,3.7,3.19,0.0,0.0,0.0,0.55,0.0,0.15,0.34,0.0,0.28,0.32,0.7,0.0,0.0,0.32,1.85,0.23,0.0,0.0,4.64,0.0,0.0,0.22,0.0,0.56
13,63,Puy-de-Dôme,0.0,0.0,1.06,0.0,2.17,0.0,0.0,0.0,0.0,0.0,6.67,4.44,5.83,17.02,5.41,0.0,1.92,1.23,0.0,0.0,0.0,1.64,2.14,0.0,93.48,0.0,0.0,2.8,0.0,4.35,4.44,0.0,0.0,0.0,7.5,0.64,7.04,8.77,0.0,0.0,0.0,23.08,0.0,0.0,0.0,0.0,2.22,0.0,0.0,75.61,0.23,1.28,6.63,0.0,5.33
14,67,Bas-Rhin,14.75,8.33,8.97,14.05,15.46,1.59,3.68,3.23,21.67,0.78,20.54,18.82,25.42,16.67,23.61,12.09,7.77,4.4,40.3,7.34,0.71,25.23,4.62,2.39,100.0,0.97,3.19,23.27,0.0,39.18,35.63,4.89,8.33,3.47,15.0,2.27,8.7,3.42,9.09,8.42,2.36,100.0,3.08,1.54,4.18,0.0,4.19,0.32,10.86,85.53,0.84,3.21,12.58,0.78,14.77
15,75,Paris,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
16,76,Seine-Maritime,0.0,0.0,8.64,0.0,0.0,0.0,0.14,0.0,0.0,0.0,14.78,2.63,12.42,0.0,0.0,1.22,0.0,1.28,30.77,14.29,0.0,20.0,0.14,0.56,38.46,0.28,2.49,10.22,15.13,33.68,1.33,0.0,0.0,0.0,2.86,0.42,3.82,4.35,17.65,1.37,0.0,1.92,0.0,0.0,0.0,0.0,0.52,0.0,4.43,4.29,0.0,0.42,1.69,0.0,4.67
17,77,Seine-et-Marne,13.95,1.12,24.1,4.14,15.04,1.5,0.59,1.41,14.13,0.0,4.88,17.89,26.87,12.21,27.08,8.62,6.56,2.94,6.19,4.55,0.55,21.97,17.45,8.47,100.0,2.56,9.34,37.04,1.7,44.06,13.22,0.8,2.35,0.59,24.07,0.78,10.69,8.09,0.0,4.65,0.0,2.6,0.0,1.02,0.0,0.98,3.35,0.39,5.14,67.26,0.8,1.75,7.63,0.0,10.98
18,78,Yvelines,22.62,14.88,91.67,61.4,26.97,2.31,17.12,18.1,67.9,0.0,25.42,38.61,79.0,24.19,68.54,27.96,22.92,4.73,25.77,0.85,0.63,36.51,40.68,30.11,100.0,17.76,11.8,100.0,6.43,57.22,29.31,3.54,3.57,6.87,9.57,6.27,29.84,6.88,8.57,25.25,11.28,48.78,1.06,0.0,1.55,3.64,9.42,0.0,20.0,100.0,1.14,12.18,26.86,0.0,26.07
19,87,Haute-Vienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
20,91,Essonne,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
21,92,Hauts-de-Seine,100.0,100.0,100.0,100.0,97.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89
22,93,Seine-Saint-Denis,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,94,Val-de-Marne,78.57,56.78,100.0,100.0,73.47,18.52,100.0,41.94,52.78,0.0,51.82,67.63,100.0,17.44,71.19,33.33,27.66,11.82,100.0,2.63,2.41,39.87,100.0,27.6,100.0,100.0,15.98,100.0,14.78,82.39,100.0,77.78,21.74,4.35,6.25,26.76,100.0,10.57,100.0,36.17,2.38,2.22,0.0,0.0,7.14,3.12,55.32,1.41,49.1,100.0,4.55,56.06,100.0,2.13,47.33
24,95,Val-d'Oise,18.84,6.77,38.89,40.0,17.98,0.0,18.48,5.32,22.81,0.0,18.25,40.38,82.2,17.89,28.95,15.19,13.75,1.05,85.92,0.0,0.0,23.08,12.63,8.01,100.0,20.65,1.86,68.12,6.98,30.5,22.37,0.57,11.29,1.0,10.59,6.0,26.23,8.14,51.61,13.08,1.1,4.84,1.39,0.0,2.41,5.56,5.56,0.0,8.72,85.33,2.44,6.25,24.55,0.0,19.32
