,monthly,lieu_id,territoire,check,status_PRO
41125,2021-06,8040,94,2021-068040,1
41192,2021-06,10321,75,2021-0610321,1
41212,2021-06,2333,67,2021-062333,1
41332,2021-06,8041,94,2021-068041,1
41333,2021-06,8883,77,2021-068883,1
41341,2021-06,8042,94,2021-068042,1
41363,2021-06,8043,94,2021-068043,1
41375,2021-06,8044,94,2021-068044,1
41391,2021-06,8045,94,2021-068045,1
41396,2021-06,12214,75,2021-0612214,1
41471,2021-06,8046,94,2021-068046,1
41496,2021-06,8047,94,2021-068047,1
41499,2021-06,1229,75,2021-061229,1
41506,2021-06,8048,94,2021-068048,1
41511,2021-06,8050,94,2021-068050,1
41521,2021-06,5730,33,2021-065730,1
41553,2021-06,3090,92,2021-063090,1
41572,2021-06,8051,94,2021-068051,1
41577,2021-06,8052,94,2021-068052,1
41611,2021-06,6788,78,2021-066788,1
41643,2021-06,7084,78,2021-067084,1
41668,2021-06,3791,75,2021-063791,1
41671,2021-06,5940,78,2021-065940,1
41673,2021-06,2914,77,2021-062914,1
41678,2021-06,10676,75,2021-0610676,1
41716,2021-06,342,75,2021-06342,1
41765,2021-06,5825,93,2021-065825,1
41770,2021-06,2911,77,2021-062911,1
41792,2021-06,3814,92,2021-063814,1
41794,2021-06,4944,44,2021-064944,1
41800,2021-06,12190,06,2021-0612190,1
41804,2021-06,12179,06,2021-0612179,1
41805,2021-06,12180,06,2021-0612180,1
41821,2021-06,12181,06,2021-0612181,1
41822,2021-06,12182,06,2021-0612182,1
41826,2021-06,12183,06,2021-0612183,1
41827,2021-06,12185,06,2021-0612185,1
41828,2021-06,12191,06,2021-0612191,1
41829,2021-06,12192,06,2021-0612192,1
41832,2021-06,12193,06,2021-0612193,1
41833,2021-06,12194,06,2021-0612194,1
41855,2021-06,4699,33,2021-064699,1
41857,2021-06,12400,67,2021-0612400,1
41865,2021-06,10703,75,2021-0610703,1
41885,2021-06,4491,95,2021-064491,1
41935,2021-06,12674,75,2021-0612674,1
41939,2021-06,7151,92,2021-067151,1
41948,2021-06,12622,75,2021-0612622,1
41956,2021-06,2615,92,2021-062615,1
41968,2021-06,2988,93,2021-062988,1
41977,2021-06,2195,77,2021-062195,1
42005,2021-06,6958,75,2021-066958,1
42031,2021-06,3519,75,2021-063519,1
42036,2021-06,1981,44,2021-061981,1
42043,2021-06,3517,75,2021-063517,1
42133,2021-06,5448,44,2021-065448,1
42151,2021-06,11458,92,2021-0611458,1
42172,2021-06,5476,92,2021-065476,1
42173,2021-06,4445,94,2021-064445,1
42183,2021-06,4459,94,2021-064459,1
42190,2021-06,4479,94,2021-064479,1
42197,2021-06,8029,75,2021-068029,1
42201,2021-06,4480,94,2021-064480,1
42211,2021-06,12673,75,2021-0612673,1
42212,2021-06,4481,94,2021-064481,1
42222,2021-06,4482,94,2021-064482,1
42228,2021-06,4510,94,2021-064510,1
42232,2021-06,4483,94,2021-064483,1
42243,2021-06,4511,94,2021-064511,1
42247,2021-06,6957,75,2021-066957,1
42248,2021-06,4512,94,2021-064512,1
42264,2021-06,4513,94,2021-064513,1
42268,2021-06,4521,94,2021-064521,1
42273,2021-06,4523,94,2021-064523,1
42279,2021-06,4530,94,2021-064530,1
42287,2021-06,4525,94,2021-064525,1
42291,2021-06,4529,94,2021-064529,1
42295,2021-06,4528,94,2021-064528,1
42306,2021-06,4526,94,2021-064526,1
42319,2021-06,4527,94,2021-064527,1
42329,2021-06,4531,94,2021-064531,1
42339,2021-06,4532,94,2021-064532,1
42342,2021-06,2828,93,2021-062828,1
42362,2021-06,8127,33,2021-068127,1
42409,2021-06,2902,93,2021-062902,1
42450,2021-06,5708,44,2021-065708,1
42481,2021-06,1929,33,2021-061929,1
42497,2021-06,10705,75,2021-0610705,1
42562,2021-06,1986,44,2021-061986,1
42598,2021-06,5732,44,2021-065732,1
42610,2021-06,12746,75,2021-0612746,1
42620,2021-06,12747,59,2021-0612747,1
42635,2021-06,12749,67,2021-0612749,1
42775,2021-06,8353,93,2021-068353,1
42777,2021-06,5811,33,2021-065811,1
42920,2021-06,6166,33,2021-066166,1
43006,2021-06,11749,92,2021-0611749,1
43089,2021-06,2925,77,2021-062925,1
43155,2021-06,8139,75,2021-068139,1
43238,2021-06,2950,92,2021-062950,1
43247,2021-06,12728,95,2021-0612728,1
43286,2021-06,5149,44,2021-065149,1
43325,2021-06,3398,92,2021-063398,1
43484,2021-06,11462,95,2021-0611462,1
43494,2021-06,11134,33,2021-0611134,1
43616,2021-06,36,75,2021-0636,1
43643,2021-06,12678,75,2021-0612678,1
43644,2021-06,5583,33,2021-065583,1
43645,2021-06,5809,33,2021-065809,1
43646,2021-06,12329,75,2021-0612329,1
43650,2021-06,4535,44,2021-064535,1
43654,2021-06,4970,44,2021-064970,1
43658,2021-06,6565,44,2021-066565,1
43662,2021-06,6472,94,2021-066472,1
43666,2021-06,12223,67,2021-0612223,1
43723,2021-06,11502,92,2021-0611502,1
43730,2021-06,2933,92,2021-062933,1
43779,2021-06,123,75,2021-06123,1
43947,2021-06,10306,94,2021-0610306,1
44039,2021-06,6806,78,2021-066806,1
44050,2021-06,3245,94,2021-063245,1
44052,2021-06,9684,67,2021-069684,1
44084,2021-06,4925,75,2021-064925,1
44090,2021-06,8354,78,2021-068354,1
44130,2021-06,137,93,2021-06137,1
44246,2021-06,4099,33,2021-064099,1
44283,2021-06,2965,92,2021-062965,1
44467,2021-06,3086,92,2021-063086,1
44672,2021-06,11936,95,2021-0611936,1
44905,2021-06,3732,93,2021-063732,1
44940,2021-06,118,75,2021-06118,1
45090,2021-06,4790,33,2021-064790,1
45196,2021-06,9130,75,2021-069130,1
45215,2021-06,6669,44,2021-066669,1
45317,2021-06,1760,33,2021-061760,1
45334,2021-06,1761,33,2021-061761,1
45338,2021-06,1763,33,2021-061763,1
45343,2021-06,1765,33,2021-061765,1
45347,2021-06,3960,33,2021-063960,1
45351,2021-06,4793,33,2021-064793,1
45356,2021-06,4794,33,2021-064794,1
45362,2021-06,4795,33,2021-064795,1
45368,2021-06,4796,33,2021-064796,1
45372,2021-06,6175,33,2021-066175,1
45376,2021-06,255,75,2021-06255,1
45402,2021-06,9465,94,2021-069465,1
45407,2021-06,9925,33,2021-069925,1
45413,2021-06,2290,67,2021-062290,1
45436,2021-06,1949,33,2021-061949,1
45437,2021-06,10881,33,2021-0610881,1
45618,2021-06,21,75,2021-0621,1
45628,2021-06,8886,44,2021-068886,1
45723,2021-06,2417,75,2021-062417,1
45852,2021-06,1919,33,2021-061919,1
45853,2021-06,4981,44,2021-064981,1
45934,2021-06,6424,44,2021-066424,1
45946,2021-06,3210,94,2021-063210,1
45954,2021-06,4448,94,2021-064448,1
45958,2021-06,6410,94,2021-066410,1
45962,2021-06,4465,94,2021-064465,1
45966,2021-06,4454,94,2021-064454,1
45972,2021-06,4464,94,2021-064464,1
45976,2021-06,6395,94,2021-066395,1
45984,2021-06,10681,75,2021-0610681,1
45996,2021-06,2763,75,2021-062763,1
46004,2021-06,12260,77,2021-0612260,1
46040,2021-06,5470,33,2021-065470,1
46070,2021-06,3389,92,2021-063389,1
46108,2021-06,9861,67,2021-069861,1
46121,2021-06,10732,67,2021-0610732,1
46171,2021-06,1966,33,2021-061966,1
46183,2021-06,4108,33,2021-064108,1
46187,2021-06,10153,92,2021-0610153,1
46193,2021-06,5731,33,2021-065731,1
46214,2021-06,5765,33,2021-065765,1
46227,2021-06,4104,33,2021-064104,1
46234,2021-06,12262,77,2021-0612262,1
46368,2021-06,2404,93,2021-062404,1
46485,2021-06,12829,75,2021-0612829,1
46625,2021-06,898,75,2021-06898,1
46649,2021-06,1758,33,2021-061758,1
46710,2021-06,3679,75,2021-063679,1
46724,2021-06,1938,33,2021-061938,1
46771,2021-06,2481,75,2021-062481,1
46827,2021-06,2475,75,2021-062475,1
46829,2021-06,11036,78,2021-0611036,1
46833,2021-06,7361,67,2021-067361,1
46892,2021-06,5756,77,2021-065756,1
46926,2021-06,2433,75,2021-062433,1
46932,2021-06,121,75,2021-06121,1
46933,2021-06,2528,75,2021-062528,1
46934,2021-06,8854,75,2021-068854,1
47006,2021-06,4449,94,2021-064449,1
47008,2021-06,4451,94,2021-064451,1
47009,2021-06,4452,94,2021-064452,1
47073,2021-06,6392,94,2021-066392,1
47084,2021-06,6394,94,2021-066394,1
47093,2021-06,6396,94,2021-066396,1
47103,2021-06,6398,94,2021-066398,1
47107,2021-06,6399,94,2021-066399,1
47112,2021-06,6401,94,2021-066401,1
47116,2021-06,6402,94,2021-066402,1
47124,2021-06,6404,94,2021-066404,1
47129,2021-06,6405,94,2021-066405,1
47135,2021-06,6411,94,2021-066411,1
47143,2021-06,6412,94,2021-066412,1
47148,2021-06,6994,94,2021-066994,1
47158,2021-06,3097,92,2021-063097,1
47168,2021-06,3098,92,2021-063098,1
47275,2021-06,6414,94,2021-066414,1
47280,2021-06,6416,94,2021-066416,1
47288,2021-06,6417,94,2021-066417,1
47299,2021-06,6418,94,2021-066418,1
47341,2021-06,1907,33,2021-061907,1
47482,2021-06,3114,93,2021-063114,1
47485,2021-06,12864,33,2021-0612864,1
47563,2021-06,10677,33,2021-0610677,1
47571,2021-06,10244,33,2021-0610244,1
47608,2021-06,3016,93,2021-063016,1
47686,2021-06,9502,06,2021-069502,1
47725,2021-06,35,75,2021-0635,1
47729,2021-06,3421,93,2021-063421,1
47739,2021-06,3428,93,2021-063428,1
47744,2021-06,11879,91,2021-0611879,1
47766,2021-06,3422,93,2021-063422,1
47768,2021-06,3431,93,2021-063431,1
47780,2021-06,3430,93,2021-063430,1
47850,2021-06,2677,93,2021-062677,1
47911,2021-06,2229,67,2021-062229,1
47912,2021-06,2235,67,2021-062235,1
47914,2021-06,2231,67,2021-062231,1
47915,2021-06,2237,67,2021-062237,1
47916,2021-06,2240,67,2021-062240,1
47925,2021-06,2390,67,2021-062390,1
47948,2021-06,8057,67,2021-068057,1
47955,2021-06,11002,67,2021-0611002,1
47961,2021-06,11003,67,2021-0611003,1
47966,2021-06,11004,67,2021-0611004,1
47985,2021-06,11446,33,2021-0611446,1
47990,2021-06,8056,67,2021-068056,1
47992,2021-06,11445,33,2021-0611445,1
48059,2021-06,11885,91,2021-0611885,1
48155,2021-06,12115,93,2021-0612115,1
48185,2021-06,8141,93,2021-068141,1
48225,2021-06,4438,94,2021-064438,1
48266,2021-06,2507,75,2021-062507,1
48366,2021-06,6698,78,2021-066698,1
48406,2021-06,7022,94,2021-067022,1
48416,2021-06,7027,94,2021-067027,1
48501,2021-06,888,75,2021-06888,1
48512,2021-06,12828,91,2021-0612828,1
48580,2021-06,3499,77,2021-063499,1
48601,2021-06,20,75,2021-0620,1
48862,2021-06,1993,44,2021-061993,1
48904,2021-06,3299,94,2021-063299,1
49025,2021-06,1995,44,2021-061995,1
49072,2021-06,2002,44,2021-062002,1
49134,2021-06,1223,75,2021-061223,1
49170,2021-06,3785,92,2021-063785,1
49205,2021-06,2287,67,2021-062287,1
49253,2021-06,3065,93,2021-063065,1
49360,2021-06,5120,44,2021-065120,1
49843,2021-06,7229,44,2021-067229,1
50101,2021-06,5643,44,2021-065643,1
50102,2021-06,5647,44,2021-065647,1
50136,2021-06,3694,33,2021-063694,1
50152,2021-06,6654,92,2021-066654,1
50291,2021-06,6062,78,2021-066062,1
50313,2021-06,1968,33,2021-061968,1
50350,2021-06,6277,33,2021-066277,1
50367,2021-06,6291,33,2021-066291,1
50369,2021-06,6284,33,2021-066284,1
50370,2021-06,6282,33,2021-066282,1
50372,2021-06,3957,33,2021-063957,1
50379,2021-06,6272,33,2021-066272,1
50398,2021-06,6273,33,2021-066273,1
50418,2021-06,6274,33,2021-066274,1
50427,2021-06,6275,33,2021-066275,1
50442,2021-06,6276,33,2021-066276,1
50549,2021-06,16,75,2021-0616,1
50551,2021-06,5347,44,2021-065347,1
50556,2021-06,12930,78,2021-0612930,1
50562,2021-06,7436,67,2021-067436,1
50563,2021-06,8106,44,2021-068106,1
50567,2021-06,6257,33,2021-066257,1
50569,2021-06,7107,75,2021-067107,1
50571,2021-06,2295,67,2021-062295,1
50581,2021-06,2212,67,2021-062212,1
50591,2021-06,7485,67,2021-067485,1
50593,2021-06,9720,75,2021-069720,1
50607,2021-06,6792,78,2021-066792,1
50610,2021-06,5701,33,2021-065701,1
50620,2021-06,9926,67,2021-069926,1
50625,2021-06,12931,67,2021-0612931,1
50635,2021-06,12167,94,2021-0612167,1
50669,2021-06,2680,75,2021-062680,1
50700,2021-06,2288,67,2021-062288,1
50712,2021-06,9930,67,2021-069930,1
50725,2021-06,5280,44,2021-065280,1
50758,2021-06,5981,78,2021-065981,1
50759,2021-06,10877,78,2021-0610877,1
50763,2021-06,11005,78,2021-0611005,1
50764,2021-06,11006,78,2021-0611006,1
50765,2021-06,11007,78,2021-0611007,1
50785,2021-06,5115,93,2021-065115,1
50786,2021-06,10518,95,2021-0610518,1
50790,2021-06,11123,67,2021-0611123,1
50793,2021-06,10714,75,2021-0610714,1
50808,2021-06,3776,33,2021-063776,1
50815,2021-06,5388,33,2021-065388,1
50822,2021-06,5222,44,2021-065222,1
50831,2021-06,6428,44,2021-066428,1
50840,2021-06,6119,78,2021-066119,1
50889,2021-06,3801,78,2021-063801,1
50899,2021-06,5381,44,2021-065381,1
50903,2021-06,3692,78,2021-063692,1
50912,2021-06,8252,44,2021-068252,1
50924,2021-06,8253,44,2021-068253,1
50933,2021-06,8254,44,2021-068254,1
50939,2021-06,115,75,2021-06115,1
50946,2021-06,6817,94,2021-066817,1
50947,2021-06,6819,94,2021-066819,1
50950,2021-06,6542,94,2021-066542,1
50954,2021-06,7338,33,2021-067338,1
50955,2021-06,5159,93,2021-065159,1
50961,2021-06,11222,67,2021-0611222,1
50994,2021-06,4475,94,2021-064475,1
51028,2021-06,6066,93,2021-066066,1
51050,2021-06,2206,67,2021-062206,1
51148,2021-06,5397,44,2021-065397,1
51153,2021-06,8427,44,2021-068427,1
51162,2021-06,6312,94,2021-066312,1
51177,2021-06,6350,94,2021-066350,1
51229,2021-06,1970,33,2021-061970,1
51282,2021-06,9817,78,2021-069817,1
51390,2021-06,11096,75,2021-0611096,1
51408,2021-06,12939,33,2021-0612939,1
51444,2021-06,1920,33,2021-061920,1
51472,2021-06,1896,33,2021-061896,1
51488,2021-06,5939,33,2021-065939,1
51537,2021-06,9548,93,2021-069548,1
51561,2021-06,210,75,2021-06210,1
51563,2021-06,8144,93,2021-068144,1
51575,2021-06,5884,78,2021-065884,1
51598,2021-06,5170,78,2021-065170,1
51611,2021-06,2460,75,2021-062460,1
51612,2021-06,3771,77,2021-063771,1
51624,2021-06,10070,92,2021-0610070,1
51632,2021-06,2197,75,2021-062197,1
51636,2021-06,4994,44,2021-064994,1
51655,2021-06,5850,44,2021-065850,1
51659,2021-06,2440,75,2021-062440,1
51712,2021-06,11741,13,2021-0611741,1
51740,2021-06,2361,67,2021-062361,1
51839,2021-06,11742,13,2021-0611742,1
51850,2021-06,3719,94,2021-063719,1
51987,2021-06,6156,78,2021-066156,1
52004,2021-06,6241,78,2021-066241,1
52017,2021-06,6240,78,2021-066240,1
52071,2021-06,2203,67,2021-062203,1
52144,2021-06,6741,78,2021-066741,1
52172,2021-06,5467,33,2021-065467,1
52238,2021-06,3254,94,2021-063254,1
52256,2021-06,2542,75,2021-062542,1
52277,2021-06,6471,94,2021-066471,1
52383,2021-06,4915,44,2021-064915,1
52402,2021-06,5972,78,2021-065972,1
52420,2021-06,3496,78,2021-063496,1
52429,2021-06,7112,78,2021-067112,1
52432,2021-06,269,75,2021-06269,1
52450,2021-06,6518,94,2021-066518,1
52461,2021-06,5378,44,2021-065378,1
52468,2021-06,4778,33,2021-064778,1
52475,2021-06,3489,93,2021-063489,1
52476,2021-06,4777,33,2021-064777,1
52481,2021-06,4776,33,2021-064776,1
52482,2021-06,5822,93,2021-065822,1
52503,2021-06,4779,33,2021-064779,1
52548,2021-06,3652,92,2021-063652,1
52587,2021-06,5631,33,2021-065631,1
52607,2021-06,11603,06,2021-0611603,1
52625,2021-06,11678,06,2021-0611678,1
52627,2021-06,11679,06,2021-0611679,1
52629,2021-06,11837,06,2021-0611837,1
52652,2021-06,6987,93,2021-066987,1
52687,2021-06,6420,44,2021-066420,1
52691,2021-06,6421,44,2021-066421,1
52695,2021-06,11284,92,2021-0611284,1
52701,2021-06,6596,78,2021-066596,1
52706,2021-06,11295,92,2021-0611295,1
52712,2021-06,11359,92,2021-0611359,1
52716,2021-06,11296,92,2021-0611296,1
52721,2021-06,11309,92,2021-0611309,1
52725,2021-06,11310,92,2021-0611310,1
52729,2021-06,11313,92,2021-0611313,1
52733,2021-06,11324,92,2021-0611324,1
52743,2021-06,15,75,2021-0615,1
52756,2021-06,12946,,2021-0612946,1
52757,2021-06,10672,33,2021-0610672,1
52785,2021-06,2636,75,2021-062636,1
52798,2021-06,11320,92,2021-0611320,1
52851,2021-06,11327,92,2021-0611327,1
52857,2021-06,11330,92,2021-0611330,1
52869,2021-06,7072,94,2021-067072,1
52872,2021-06,11331,92,2021-0611331,1
52879,2021-06,12950,44,2021-0612950,1
52881,2021-06,11334,92,2021-0611334,1
52890,2021-06,11339,92,2021-0611339,1
52914,2021-06,6028,75,2021-066028,1
52925,2021-06,5823,93,2021-065823,1
52936,2021-06,10068,78,2021-0610068,1
52938,2021-06,10083,75,2021-0610083,1
52940,2021-06,10084,75,2021-0610084,1
52942,2021-06,11730,95,2021-0611730,1
52943,2021-06,10067,78,2021-0610067,1
52946,2021-06,10066,78,2021-0610066,1
52948,2021-06,10065,78,2021-0610065,1
52950,2021-06,10064,78,2021-0610064,1
52990,2021-06,12929,91,2021-0612929,1
52999,2021-06,9203,91,2021-069203,1
53005,2021-06,6027,75,2021-066027,1
53007,2021-06,12710,91,2021-0612710,1
53010,2021-06,12740,91,2021-0612740,1
53016,2021-06,2673,91,2021-062673,1
53020,2021-06,12719,91,2021-0612719,1
53027,2021-06,5692,75,2021-065692,1
53038,2021-06,9168,91,2021-069168,1
53044,2021-06,12713,91,2021-0612713,1
53047,2021-06,12714,91,2021-0612714,1
53052,2021-06,12715,91,2021-0612715,1
53057,2021-06,12711,91,2021-0612711,1
53063,2021-06,12718,91,2021-0612718,1
53066,2021-06,12720,91,2021-0612720,1
53073,2021-06,12722,91,2021-0612722,1
53080,2021-06,12709,91,2021-0612709,1
53083,2021-06,12741,91,2021-0612741,1
53089,2021-06,12738,91,2021-0612738,1
53092,2021-06,12717,91,2021-0612717,1
53100,2021-06,12721,91,2021-0612721,1
53106,2021-06,9159,91,2021-069159,1
53107,2021-06,3677,92,2021-063677,1
53111,2021-06,9162,91,2021-069162,1
53118,2021-06,12716,91,2021-0612716,1
53123,2021-06,12739,91,2021-0612739,1
53130,2021-06,12712,91,2021-0612712,1
53133,2021-06,12737,91,2021-0612737,1
53137,2021-06,9174,91,2021-069174,1
53155,2021-06,6063,78,2021-066063,1
53274,2021-06,11083,06,2021-0611083,1
53291,2021-06,11158,06,2021-0611158,1
53345,2021-06,5942,78,2021-065942,1
53530,2021-06,265,75,2021-06265,1
53603,2021-06,1756,33,2021-061756,1
53608,2021-06,2225,67,2021-062225,1
53729,2021-06,6322,94,2021-066322,1
53878,2021-06,5684,75,2021-065684,1
53891,2021-06,4933,75,2021-064933,1
53894,2021-06,3784,92,2021-063784,1
53899,2021-06,3023,93,2021-063023,1
53920,2021-06,4444,94,2021-064444,1
53926,2021-06,6767,92,2021-066767,1
53927,2021-06,6042,92,2021-066042,1
53931,2021-07,10698,75,2021-0710698,1
53935,2021-07,3340,92,2021-073340,1
53936,2021-07,3070,92,2021-073070,1
53943,2021-07,2727,75,2021-072727,1
53959,2021-07,7214,78,2021-077214,1
53965,2021-07,6278,33,2021-076278,1
53966,2021-07,6279,33,2021-076279,1
53969,2021-07,6694,78,2021-076694,1
53971,2021-07,3518,,2021-073518,1
53972,2021-07,2681,75,2021-072681,1
53977,2021-07,6281,33,2021-076281,1
53978,2021-07,3525,78,2021-073525,1
53985,2021-07,6689,78,2021-076689,1
53992,2021-07,6283,33,2021-076283,1
53995,2021-07,6693,78,2021-076693,1
53996,2021-07,6517,94,2021-076517,1
53999,2021-07,7192,78,2021-077192,1
54008,2021-07,6286,33,2021-076286,1
54019,2021-07,5679,75,2021-075679,1
54031,2021-07,6287,33,2021-076287,1
54047,2021-07,6288,33,2021-076288,1
54105,2021-07,7194,78,2021-077194,1
54119,2021-07,3541,78,2021-073541,1
54123,2021-07,3539,78,2021-073539,1
54129,2021-07,6685,78,2021-076685,1
54140,2021-07,3771,77,2021-073771,1
54144,2021-07,6695,78,2021-076695,1
54159,2021-07,6978,78,2021-076978,1
54174,2021-07,7204,78,2021-077204,1
54184,2021-07,6688,78,2021-076688,1
54195,2021-07,4117,78,2021-074117,1
54200,2021-07,6686,78,2021-076686,1
54212,2021-07,6687,78,2021-076687,1
54221,2021-07,0,75,2021-070,1
54222,2021-07,6684,78,2021-076684,1
54233,2021-07,4,75,2021-074,1
54237,2021-07,2500,75,2021-072500,1
54249,2021-07,3540,78,2021-073540,1
54261,2021-07,3812,92,2021-073812,1
54264,2021-07,4409,78,2021-074409,1
54276,2021-07,3538,78,2021-073538,1
54287,2021-07,3542,78,2021-073542,1
54292,2021-07,7225,78,2021-077225,1
54306,2021-07,3543,78,2021-073543,1
54316,2021-07,11424,93,2021-0711424,1
54319,2021-07,7226,78,2021-077226,1
54340,2021-07,3606,78,2021-073606,1
54349,2021-07,3544,78,2021-073544,1
54424,2021-07,17,75,2021-0717,1
54460,2021-07,6577,92,2021-076577,1
54503,2021-07,6658,94,2021-076658,1
54509,2021-07,6289,33,2021-076289,1
54526,2021-07,11275,75,2021-0711275,1
54538,2021-07,5440,44,2021-075440,1
54610,2021-07,5138,44,2021-075138,1
54627,2021-07,3511,75,2021-073511,1
54644,2021-07,12728,95,2021-0712728,1
54671,2021-07,6290,33,2021-076290,1
54694,2021-07,6292,33,2021-076292,1
54704,2021-07,6293,33,2021-076293,1
54723,2021-07,6294,33,2021-076294,1
54754,2021-07,9693,44,2021-079693,1
54772,2021-07,336,75,2021-07336,1
54862,2021-07,12604,75,2021-0712604,1
54873,2021-07,4721,33,2021-074721,1
54892,2021-07,3298,33,2021-073298,1
54897,2021-07,11099,75,2021-0711099,1
54948,2021-07,5773,94,2021-075773,1
54958,2021-07,12103,93,2021-0712103,1
54964,2021-07,12104,93,2021-0712104,1
54967,2021-07,3326,44,2021-073326,1
54975,2021-07,12105,93,2021-0712105,1
54977,2021-07,2811,93,2021-072811,1
54978,2021-07,12106,93,2021-0712106,1
54979,2021-07,12107,93,2021-0712107,1
55011,2021-07,4553,93,2021-074553,1
55018,2021-07,12438,75,2021-0712438,1
55029,2021-07,4554,93,2021-074554,1
55083,2021-07,11100,75,2021-0711100,1
55084,2021-07,12977,13,2021-0712977,1
55140,2021-07,12979,75,2021-0712979,1
55195,2021-07,6356,94,2021-076356,1
55343,2021-07,5364,44,2021-075364,1
55400,2021-07,216,75,2021-07216,1
55403,2021-07,5736,75,2021-075736,1
55404,2021-07,3506,78,2021-073506,1
55408,2021-07,12723,67,2021-0712723,1
55413,2021-07,6768,94,2021-076768,1
55422,2021-07,8639,33,2021-078639,1
55428,2021-07,4659,33,2021-074659,1
55432,2021-07,6442,33,2021-076442,1
55440,2021-07,6443,33,2021-076443,1
55444,2021-07,4575,33,2021-074575,1
55449,2021-07,6433,33,2021-076433,1
55459,2021-07,3807,33,2021-073807,1
55463,2021-07,6446,33,2021-076446,1
55467,2021-07,6439,33,2021-076439,1
55468,2021-07,6448,33,2021-076448,1
55505,2021-07,1859,33,2021-071859,1
55531,2021-07,3011,93,2021-073011,1
56198,2021-07,7977,78,2021-077977,1
56201,2021-07,1864,33,2021-071864,1
56203,2021-07,7978,78,2021-077978,1
56207,2021-07,7979,78,2021-077979,1
56211,2021-07,7980,78,2021-077980,1
56215,2021-07,7981,78,2021-077981,1
56219,2021-07,7982,78,2021-077982,1
56223,2021-07,7983,78,2021-077983,1
56227,2021-07,7984,78,2021-077984,1
56231,2021-07,7976,78,2021-077976,1
56270,2021-07,5783,75,2021-075783,1
56294,2021-07,6950,33,2021-076950,1
56458,2021-07,109,75,2021-07109,1
56526,2021-07,4733,33,2021-074733,1
56530,2021-07,4706,33,2021-074706,1
56533,2021-07,4737,33,2021-074737,1
56536,2021-07,4735,33,2021-074735,1
56539,2021-07,4734,33,2021-074734,1
56571,2021-07,270,75,2021-07270,1
56647,2021-07,5097,75,2021-075097,1
56651,2021-07,3948,75,2021-073948,1
56652,2021-07,11,75,2021-0711,1
56653,2021-07,211,75,2021-07211,1
56660,2021-07,10081,44,2021-0710081,1
56665,2021-07,5945,78,2021-075945,1
56670,2021-07,8657,78,2021-078657,1
56674,2021-07,9505,78,2021-079505,1
56678,2021-07,9526,78,2021-079526,1
56680,2021-07,6254,44,2021-076254,1
56686,2021-07,126,75,2021-07126,1
56717,2021-07,3625,92,2021-073625,1
56918,2021-07,2987,93,2021-072987,1
56925,2021-07,9744,78,2021-079744,1
56926,2021-07,11497,78,2021-0711497,1
56927,2021-07,11544,78,2021-0711544,1
56929,2021-07,11548,78,2021-0711548,1
56931,2021-07,11550,78,2021-0711550,1
56932,2021-07,11608,78,2021-0711608,1
56933,2021-07,11609,78,2021-0711609,1
56934,2021-07,11610,78,2021-0711610,1
56935,2021-07,11611,78,2021-0711611,1
56936,2021-07,11612,78,2021-0711612,1
56937,2021-07,11613,78,2021-0711613,1
56938,2021-07,11614,78,2021-0711614,1
56939,2021-07,11615,78,2021-0711615,1
56940,2021-07,11616,78,2021-0711616,1
56941,2021-07,11617,78,2021-0711617,1
56942,2021-07,11618,78,2021-0711618,1
56943,2021-07,11619,78,2021-0711619,1
56944,2021-07,11687,78,2021-0711687,1
56945,2021-07,11689,78,2021-0711689,1
56946,2021-07,11690,78,2021-0711690,1
56947,2021-07,11760,78,2021-0711760,1
56948,2021-07,11763,78,2021-0711763,1
56949,2021-07,11765,78,2021-0711765,1
56950,2021-07,2462,75,2021-072462,1
56995,2021-07,2779,93,2021-072779,1
56999,2021-07,2788,93,2021-072788,1
57019,2021-07,11083,06,2021-0711083,1
57025,2021-07,11141,06,2021-0711141,1
57032,2021-07,11144,06,2021-0711144,1
57033,2021-07,11143,06,2021-0711143,1
57042,2021-07,11147,06,2021-0711147,1
57051,2021-07,11148,06,2021-0711148,1
57058,2021-07,11158,06,2021-0711158,1
57085,2021-07,3508,78,2021-073508,1
57154,2021-07,11721,06,2021-0711721,1
57392,2021-07,3168,92,2021-073168,1
57396,2021-07,11197,95,2021-0711197,1
57432,2021-07,11714,67,2021-0711714,1
57517,2021-07,2496,75,2021-072496,1
57557,2021-07,11198,95,2021-0711198,1
57559,2021-07,11196,95,2021-0711196,1
57569,2021-07,2680,75,2021-072680,1
57573,2021-07,7179,75,2021-077179,1
57577,2021-07,7187,75,2021-077187,1
57595,2021-07,12675,94,2021-0712675,1
57605,2021-07,38,75,2021-0738,1
57608,2021-07,9064,78,2021-079064,1
57611,2021-07,3099,93,2021-073099,1
57613,2021-07,7091,78,2021-077091,1
57621,2021-07,7092,78,2021-077092,1
57637,2021-07,2212,67,2021-072212,1
57709,2021-07,3783,33,2021-073783,1
57760,2021-07,3658,92,2021-073658,1
57808,2021-07,6819,94,2021-076819,1
57819,2021-07,12991,75,2021-0712991,1
57831,2021-07,5812,93,2021-075812,1
57853,2021-07,3019,92,2021-073019,1
57854,2021-07,6434,33,2021-076434,1
57933,2021-07,12686,44,2021-0712686,1
58080,2021-07,9969,95,2021-079969,1
58326,2021-07,2806,93,2021-072806,1
58484,2021-07,5874,78,2021-075874,1
58792,2021-07,6342,94,2021-076342,1
58994,2021-07,6295,33,2021-076295,1
