,departement,Nbre fiches liées,Nbre de fiches total,Pourcentage de fiches liées
0,Alpes-Maritimes,473,554,85.38
1,Gironde,360,863,41.71
2,Loire-Atlantique,297,865,34.34
3,Bas-Rhin,202,328,61.59
